feature-id	frequency
fc2d383d21b48085497b3fbcf645e2a0	6610
3f420e3044bea17fb92ed268e4098e20	5715
4c504d60055b3c38fb8c12fd496f6069	3921
576d865b69a485d0022c429297ad8273	3382
c67faf6bd503bdf4706af9ed52c18d92	3271
cbaaa6f3097f403fd34de840dde78346	3031
673f1f347797712d604984ff058141e2	2869
c9ac38b0fe284f2acecc51695f001cd9	2785
29e1a8ecc6d0694e334d1ec935160bf1	2748
5aebbdb20194af3ef5f461c120bffbab	2478
6e8002747941660b4545f8e517f108d7	2456
72dd3fc2820277f92974d2c58d999a22	2381
1f1eb78cdc5c6c2275fbd13c0ee7472d	2339
1a9941b6f4e8684206df1369244feec3	2300
675061b2d625ba5a1c48c7763d0838a8	2229
73e1cc04d8bad73c13afdeea9268f53f	2185
480b371bd3fd8e3d07e710ca8f1a06a2	2148
35b4d0e332ba0739b158bbb31f6fc3fd	2097
009cbdab50cb5e00e6ef093482bdcdae	2085
2bc4545e8ba8a93ce7f824984dc47740	2040
838ff77fc23913a3dae9f4ccef20045e	1988
177e30fafa76a0d21870f5dd89055682	1922
00678eb6f00c9237954dd38da0778ade	1867
a11af217323fff0db02cac25a66bfa22	1791
f2d0d4cd494cebf5ca925efe53d8914f	1782
fa5b8fb0a8b55f14d5d283faf0715427	1765
b7e584c148c3c339a6f7fd7c81631405	1749
e431cefeb95205e02324c61bd06ced3a	1740
f7348959c91d0c877d82b8135f7c7532	1721
7d92430ce0199e120d29c4b4a38b3f09	1719
c6af11d7d0d0e28fc4ccef48492fbf54	1688
dbba5677ec936b7da3b6c069362383e3	1683
19b86ef3fae13cc6bdca614f07b5bfd2	1678
65fee886812686467d4b3289814a01ea	1658
bc407ea787f972b4aad5f6e1c297d5da	1632
be7725a7607dce2bef625e25a088ee16	1620
593b7f4391411dbfa16f96eee3cfa7b5	1573
4779159794807cf7e086cbdc191c2c81	1550
91ceb309a22e0a1a81fec08e061209c6	1526
b3cf17005156a5850c0919dc6235973d	1503
c54a867a2256038e88a6659eae3d9f62	1482
7ce30df94a01e9cc85fe38d0ce607cd1	1455
6cff0444e0c56e34a8ff96c7172a1b0c	1438
de3858c32c5d5b3235ff57fbdf51ae81	1428
a4294c9cc30d2b3c39fb00cb209fe548	1421
4b5d795933a4c8f97d3c12337ce8646f	1395
798bff5caccbdc11217f216a6889f1b2	1382
b94cd82d87d9e6f9b39304afef8dd81f	1330
02d760007126a18bd797fe30788f81bf	1329
45be8e626b3249c094f8cd25c79ad1be	1279
84ce3335711c58cf5fceb08250b18375	1278
dcc8730359fa208a936fb3fb5ab2af71	1271
ff1e30d6492166ba83761515ca36d4b7	1232
edeb522326df62c2f9fdce4894354ddd	1213
45efc656401d8c91f36aea92a66d820f	1180
753a3436fbef309ba55ed211f935e9ec	1179
bde05a8725ffdf126f16f6de278780ad	1173
78932745ad6edc0d6350fa1f1ad1bd0b	1161
2fcd33359b67fd7e3d6378975cac2901	1156
9f0a447610754287281cfbdaf811118c	1152
90dc30e3948b71271a1e61548d101625	1151
b64f27fdb03eff3f08081cb507580616	1140
9dffa734703b7c74a7b0346e81afa881	1139
4cf193e07ec49beaf3b878464653d3a0	1137
a110b91c06d9489d005b1114d146de8d	1133
a6baf751263e3b3b8e72df69492c75a6	1133
39353f2cc70654bbb52b9bb027dbd8e7	1110
f7a485489708fdbb0882e85d71fb5099	1089
b147b25cd44ec45c31c028abe34e4380	1084
3b529633cfc77faa5acccbc2a9702d25	1076
d41177a9b8a0d1fde9143ab503c0bf24	1072
76df388551090ae6dc8d4c444adeed42	1060
e5934932e6c7050fd6e9ea448514b920	1046
9f4dc60f9ddfa91aefce0fb30049ea57	1040
edf7f3fc728890c39319f35d351157e7	1039
95f466447ca27edd82dcd05568e2bd85	1033
5689a632971e0a022797525200b8cb43	1030
3754d4155897b4e786b88f995b1bcf86	1029
917501ee4e74fddb25efadf0237a12b6	1022
ddcf1672f9d5aec8ad6274837fc508cf	1006
3cb1ea05bbd151a451492dea66b08cea	998
fa818fd207426656be759eddb788ad97	989
4880cb5cd0027ab9d780a1c6b3a8a3e9	985
c503ecf9795fc78b38ed98c353d7e99d	984
8eecb0a16ebd5b329ac38c47e46108cc	978
bfd9778d3abcbcce7d9208cb7db1d578	978
4cec117d3e2883c5be244a6bb3ca9e1d	972
311d467ce5b918b8d91ca2603e027ae3	970
f6dde342bd701dbb37b665d10f9a989d	942
08d9befdcce7fe069f61c595f62934ae	916
5891653dc799279d57c36326a769af89	911
4af517f3611c83e8209c08e40e26d78f	908
8d749718e0eceee0f59f901ee837da42	906
f78d64b5be4eccdbf2a4f32fa03b73ee	901
b563df4eb76b21214e976a3045dd4308	895
201306df64acca5722ac09478a86b187	895
9ce7b1afd3839347ef5ff626fc84bd0a	875
e61ffd0c40e272f16cb36ab47be5b748	872
2bbe31035f539c113d122b06e72bfc71	872
40b0c7a9c620b8aa449473a1d18251f8	870
f2cc4798e737b77938562fcb74ef7d33	850
79d1e0f939419e41d10a240c0392e442	846
9e00a82a4655652ca25e7f0e97cf3fd2	845
a7904472355dd419fb710597105d5940	842
6da4e8d865fc0715b8db8a457ff38e45	841
b300f47f0401c217201eccd58cc7b3c2	837
33f7a70b8936be3d1313c8bebccd1822	834
5288a5d2d5f6be74a6989ed267fece3b	831
16d2a1d1252384be6982c7917d1df439	816
fa4aa9bfd9c9f1190e8e55f0f01013fc	813
19d71a89b69db2f19da60647341b6501	812
84a0aa410c30e567c56ed0a133e832bc	806
b69569ff6b570fdbf3f31683c4624f2b	799
d03da8f1b8b0624af9cd75dc71a015a4	795
5e4c28781269765295c69aa6647eda5a	787
10eaea6294b5b7ceebcc9862c3efca6b	786
26a29d1e225da05f2f9d4ebf6d3b6e8e	785
3e1dc9f224c95748e175bc70de97e25f	781
577e8199beb478e3a1ffb842fdbe6a6c	770
6aa49a54483b890823a731d139cfcac2	759
eff7cca0fcdda633d8ab0a97ea8279c1	759
8f1938d0fd6d69acbe93ff6624d82e37	750
93576ae0be84c0700003f195bf41fde2	744
57a88653bac73428048d4f3977615417	744
c645ec3b89a4a337c7c402b942cf2f44	742
0d1d59a9261dd324132f6fce262aabd6	742
