feature-id	frequency
d4293261f969d1719df17523ea95bf6b	1101
3f420e3044bea17fb92ed268e4098e20	1040
fc2d383d21b48085497b3fbcf645e2a0	619
bbd652e5ff95001adcd8c3b7baa80e2c	563
c6af11d7d0d0e28fc4ccef48492fbf54	428
d9d7947a84127a412e1ced268ee42595	405
2bc4545e8ba8a93ce7f824984dc47740	374
9f0a447610754287281cfbdaf811118c	324
97fb99e5d9a14c21682677576c7e7ce7	324
4c504d60055b3c38fb8c12fd496f6069	241
c11b1f4871d8109a5f0d613ed21a1a7f	230
3956bb273915baad193ef0232e963f46	209
3fae24b2a3ba5b087a2e4bafb86f5acf	204
ab2db9bcd6c42d0d3e07ff96c23ed159	203
c04a7b143dd55197c4b84e5d2377444a	191
119fcf605b3e8bd922cec6e7066cd75b	184
7f9f78329d7d595360705e17234b2024	173
cbaaa6f3097f403fd34de840dde78346	172
57c79dd3a6939085d70163b0de6ef3be	169
04fd283d5d4eb2e1b1aec3b808395871	167
5d757c7bb2ef61f39bd577f2f7883531	165
b3cf17005156a5850c0919dc6235973d	161
576d865b69a485d0022c429297ad8273	155
bde05a8725ffdf126f16f6de278780ad	153
76df388551090ae6dc8d4c444adeed42	152
673f1f347797712d604984ff058141e2	148
57a88653bac73428048d4f3977615417	146
5910d48d6f56e628b68b5a015848a24f	137
013690d0514e6b5f4766928244a0c978	135
de3858c32c5d5b3235ff57fbdf51ae81	134
d603be317239a393474278214144535e	132
520e6ba16e4e2e79d0bf891989d995db	131
b7e584c148c3c339a6f7fd7c81631405	130
b16f5c0b81497216dd9346406eac597b	125
49e92819d1e47d6d240a733ce493c3ef	124
a36fd5938fecf6487ae438c4f85c7a79	124
e431cefeb95205e02324c61bd06ced3a	123
1aad5203a67f3c28e24513c9cfb7d716	116
91ceb309a22e0a1a81fec08e061209c6	115
35a96ce775c9f72c7be258b41a9c3c2c	115
a89e9240939ac7ddfd5aa08576727a69	114
ba7b0a6f15052a1e0b38810b5d55b76c	112
009cbdab50cb5e00e6ef093482bdcdae	108
01f54ca43a466b054718d14101a17bb1	106
43c36c6f4abbdb87fe6a2c670dc8ab1c	105
237eb6e71aecbc40e2ea9de15a9cefec	104
f5826a7686d5893516354c0e7cd1ed9f	103
4e94e9c91d87069be209417cbff1a85a	96
4cec117d3e2883c5be244a6bb3ca9e1d	96
f54ba9878bce57cacfb312dba2d489b3	94
d9f4e3533b5437b4273d7e04e6533c82	94
c70c842aff42fffa64aaa6a8eff79e2c	93
9667921c1b1bf181472c841d80ba90b7	92
d169987bac1a64522c1444879570a792	91
5de294751803d57a3cc1370e40af2d18	90
a11af217323fff0db02cac25a66bfa22	90
14138033be2628cc40c8ea733ca0fdb3	88
382c2b1b9351881ab0e8f8608028d1b0	88
4a6be01a2e886eab3a0d45826002c5cb	87
6443bf243aa81475459d385fd2437453	87
4b4dbc668334d8d0873b2442f1fc710d	86
3d4f1e5db30c333089070783406b0cec	85
